Item,,,,Produced by:,Michael Gangl,MDPS,,,
MDPS_2_REQ-57,MDPS_2_REQ-61,L3,The IDE shall allow users to upload data to the IDE environment,"Users, especially in early portions of testing, will want to work with their own data in their own, controlled environment before enabling MMDPS libraries, interfaces, access to data stores, etc.
 
 
 
 
 
 
 
 
 
 
 
 Development environments include algorithm, analysis, and visualization environments.",Test,System Test,eso-prototype,ide,upload.feature
MDPS_2_REQ-57,MDPS_2_REQ-62,L3,The IDE shall be web-based,Supporting development through Jupyter notebooks or similar helps lower the learning curve involved in algorithm development.,Test,System Test,eso-prototype,ide,ui.feature
MDPS_2_REQ-57,MDPS_2_REQ-63,L3,The IDE shall allow sharing of code and data between IDE users,Allow the collaboration of algorithms by way fo code and data sharing.,Test,"System Test, UAT",,ide,data_sharing.feature
MDPS_L1_REQ-2,MDPS_2_REQ-64,L2,"The MDPS shall provide a shared application catalog for the registration, search and access to application packages (Application Catalog)","A place to view/extend existing application packages. Also used to integrate developed algorithms into the product generation workflows and lifecycle between venues (e.g. dev to test). Artifacts can include binaries, metadata, and other executable configurations",,,eso-prototype,application_catalog,managed_service.feature
MDPS_2_REQ-64,MDPS_2_REQ-65,L3,The application catalog shall allow discovery of application packages,"The idea here is a PGE catalog / Marketplace for re-use or to facilitate the ability to test algorithms in the same manner as a production system. Discovery of application packages by name, submitting users, etc.",Test,System Test,eso-prototype,application_catalog,applicaiton_discovery.feature
MDPS_2_REQ-64,MDPS_2_REQ-66,L3,The application catalog shall provide the capability to publish multiple versions of an application package,Algorithms may have one or more versions as updates are made. These should be tracked for historical comparison and provenance.,Test,System Test,eso-prototype,application_catalog,application_publicaiton.feature
MDPS_2_REQ-64,MDPS_2_REQ-67,L3,The application catalog shall allow access to application packages from the centralized catalog,The catalog points at resources required to run the cataloged application package.,Test,System Test,eso-prototype,application_catalog,application_access.feature
MDPS_2_REQ-64,MDPS_2_REQ-68,L3,The application catalog shall allow deletion of application packages from a centralized algorithm catalog,"May need to remove the algorithm from the store for a variety of reasons. this shouldn't be part of the normal lifecycle, since other projects, users, workflows might be using or have used this algorithm.In the event of a published application being deleted, other requirements defne the need to keep a record of the delted entry.",Test,System Test,,application_catalog,application_deletion.feature
MDPS_2_REQ-64,MDPS_2_REQ-69,L3,The application catalog shall maintain a record of deleted application packages,"even if deleted, a record for this must be maintained or provenance information. Deleted applciation packages should not be discoverable through default searches.",Test,System Test,,application_catalog,application_deletion_record.feature
MDPS_2_REQ-64,MDPS_2_REQ-70,L3,The application catalog shall provide the capability to publish application packages conforming to the published OGC Best Practice for Earth Observation Application Package,"the basic operation of registering an algorithm package in the repository for use in a workflow. The application package specification can be found at 
 
 
  http://www.opengis.net/doc/BP/eoap/1.0",Test,System Test,"eso-prototype, interface",application_catalog,OGC_validations.feature
MDPS_2_REQ-64,MDPS_2_REQ-71,L3,The application catalog shall provide the capability to restrict access to application packages,Projects may want to restrict access to application packages in development.,Test,System Test,,application_catalog,application_access_restrictions.feature
MDPS_2_REQ-64,MDPS_2_REQ-72,L3,The application catalog shall support language agnostic application packages,"So long as the application is packaged correctly, the underlying implementation language (java, python) etc should not matter. There may be impacts on the required run-times for executing an application package (e.g. IDL), but from an application package perspective, this is not prescribed.",Test,System Test,eso-prototype,application_catalog,application_lang_agnostic.feature
MDPS_2_REQ-64,MDPS_2_REQ-215,L3,The application catalog shall be available 99.9% of the time or greater,"Due to dependencies on the component, the availability requirement for the shared service is greater than the other specified (99%) requirements.",Test,"System test and monitoring availability over the course of a rolling day, week, month","eso, non-functional",application_catalog,uptime.feature
MDPS_2_REQ-64,MDPS_2_REQ-221,L3,The application catalog shall store execution metrics for each application package in the catalog,"User can determine the cost of executing an application package. Execution metrics can consist of runtime, CPU usage, and memory usage.",Test,,,application_catalog,application_execution_metrics.catalog
MDPS_L1_REQ-2,MDPS_2_REQ-73,L2,The MDPS shall provide the capability for IDE customization,The IDE shall be customizable for the project's and user's needs.,,,eso-prototype,ide,
MDPS_2_REQ-73,MDPS_2_REQ-74,L3,IDE customization shall include IDE compute resources,"Allow for customizing the amount of resources an IDE environment has, or what a user has access to (CPU, RAM).
 
 
   
 
 
  This means that when the IDE is first deployed, the total amount of CPU/RAM on an 'instance' can be customized. The users can also specify (or request) how much ram/cpu is given to their specific IDE during run time. This might be a list of options (e.g. 2 CPU, 8 CPU, 16 CPU) and must be set up prior by the project.",Test,System Test,eso-prototype,ide,compute.feature
MDPS_2_REQ-73,MDPS_2_REQ-75,L3,IDE customization shall include IDE storage resources,"Alow for customizing the storage available to an environment (e.g. SSD Storage, 20TB of storage)",Test,System Test,eso-prototype,ide,storage.feature
MDPS_2_REQ-73,MDPS_2_REQ-76,L3,IDE customization shall include the inclusion of project defined libraries and resources to IDEs,"allow for things like GDAL, file readers, custom software to be installed",Test,System Test,,ide,libraries.feature
MDPS_L1_REQ-2,MDPS_2_REQ-77,L2,The MDPS shall provide the capability to package developed algorithms as application packages for execution in a science data processing platform. (Application Package Generation System - APGS),A system for taking code from an IDE and package and publish it in the catalog for future executions,,,eso-prototype,apgs,managed_service.feature
MDPS_2_REQ-77,MDPS_2_REQ-78,L3,The APGS shall preserve source code used to construct an application package,"The code used for the algorithm must be 'configuration managed' for historical reference and re-building. The _act_ of rebuilding it (for all time) is out of scope for MDPS, but having the underlying record is required.",Test,System Test,,apgs,preserve_source.feature
MDPS_2_REQ-77,MDPS_2_REQ-79,L3,The APGS shall generate algorithm packages as defined in http://www.opengis.net/doc/BP/eoap/1.0,"Algorithm packages' can be defined offline/locally or through a managed based system. Once built (preferably automatically) the asset is cataloged and now runable from a MMDPS Processing Services workflow, and is stored in the Algorithm Catalog",Test,System Test,"eso-prototype, interface",apgs,app_pacakges.feature
MDPS_2_REQ-77,MDPS_2_REQ-80,L3,The APGS shall store application package artifacts required for execution,"Artifacts from the build,e.g. CWL, Docker containers, etc shall be stored for access",Test,System Test,eso-prototype,apgs,packaging.feature
MDPS_2_REQ-77,MDPS_2_REQ-81,L3,The APGS shall publish application packages to the application catalog,Publish the built application packages to the application catalog.,Test,System Test,eso-prototype,apgs,packaging.feature
MDPS_2_REQ-77,MDPS_2_REQ-82,L3,The APGS shall implement measures to prevent malicious MMDPS platform code and data from being run in production like venues.,"MMDPS platform code, or the multi-tenant services need oversight of code quality, vulnerability scans, etc. The goal of this is to prevent rogue code from being added to the MMDPS.",Test,System Test,,apgs,malicious_code.feature
MDPS_2_REQ-77,MDPS_2_REQ-163,L3,The APGS shall provide a mechanism to validate APGS inputs prior to build,A validation mechanism for users to run against artifacts to know if it is compliant or not. This can be run in the IDEA against local files or can be run against a SCM link,Test,"System Test, UAT",eso,apgs,validate_inputs.feature
MDPS_2_REQ-77,MDPS_2_REQ-164,L3,The APGS shall generate application packages upon user request.,A way of calling the APGS is required for integration into user processes/workflows.,Test,System Test,"eso, eso-prototype",apgs,packaging.feature
MDPS_2_REQ-77,MDPS_2_REQ-165,L3,The APGS shall provide status of application generation processes,Users need to determine if builds were successful. This status can be automated (email notifications) or passive (request based).,Test,System Test,eso,apgs,packaging.feature
MDPS_2_REQ-77,MDPS_2_REQ-222,L3,Application packages generated by the APGS shall specify memory resource requirements,Need to know or describe the memory resources required to run an application package in the MDPS system,Test,system test,eso,apgs,memory_requirements.feature
MDPS_2_REQ-77,MDPS_2_REQ-223,L3,Application packages generated by the APGS shall specify CPU resource requirements,"Application packages need to define number of cores, possibly CPU limits for efficient processing.",Test,System Test,eso,apgs,cpu_requirements.feature
MDPS_2_REQ-77,MDPS_2_REQ-224,L3,Application packages generated by the APGS shall specify storage resource requirements,Many algorithms have voluminous data requirements. These must be specified for efficient execution of algorithms,Test,System Test,eso,apgs,storage_requirements.feature
MDPS_L1_REQ-2,MDPS_2_REQ-83,L2,The MDPS shall allow project users to transform and analyze selected MDPS data products (Transformation and Analysis),Allow for basic transformations on project specified product types,,,,analysis,
MDPS_2_REQ-83,MDPS_2_REQ-84,L3,The transformation and analysis system shall reproject/regrid project specified products into user requested reference frames,Allow for reprojection/regridding of suitable data products,Test,System Test,,analysis,regrid.feature
MDPS_2_REQ-83,MDPS_2_REQ-85,L3,The transformation and analysis system shall implement a Data Analysis And Processing API (DAPA) as specified in <DAPA-TBD>,DAPA allows for the request of data in various formats and includes data reduction analytics by default. Based on DGSS implementation https://docs.ogc.org/per/20-025r1.html#_dapa_design_1_for_dggs,Test,System Test,interface,analysis,dapa.feature
MDPS_2_REQ-83,MDPS_2_REQ-86,L3,The transformation and analysis system shall provide dynamic mapping of collections to DAPA implementations,"Projects choose if a product has a DAPA implementation, and so this needs to be dynamically set by the product provider- e.g. a time series capability might exist for product 1 but not product 2",Test,System Test,,analysis,mapping.feature
MDPS_2_REQ-83,MDPS_2_REQ-87,L3,The transformation and analysis system shall provide timeseries calculations on transformation requests,"Return time series from an xform request - domain can be a pixel, area or grid cell",Test,"System Test, UAT",,analysis,time_series.feature
MDPS_2_REQ-83,MDPS_2_REQ-88,L3,The transformation and analysis system shall provide averaging calculations on transformation requests,"Return area average from an xform request. Request can specify area, pixel, or grid cell.",Test,"System Test, UAT",,analysis,averaging.feature
MDPS_2_REQ-83,MDPS_2_REQ-213,L3,The transformation and analysis system shall provide extrema calculations on transformation requests,"Server side functions to return extrema of a given request (e.g. min/max values of a point, area, or polygon request).",Test,System Test,"eso, functional",analysis,extrema.feature
MDPS_2_REQ-83,MDPS_2_REQ-89,L3,The transformation and analysis system shall subset project specified products along user requested space/time bounds,Allow for subsets of data products,Test,"System Test, UAT",,analysis,subset.feature
MDPS_2_REQ-83,MDPS_2_REQ-90,L3,The transformation and analysis system shall provide tooling to generate analysis optimized products,Tooling to generate analysis ready/optimize formats from conventional products- e.g. convert a set of netcdf to zarr archives,Test,System Test,,analysis,aods.feature
MDPS_2_REQ-83,MDPS_2_REQ-91,L3,The transformation and analysis system shall generate provenance records for transformations and analysis requests,"A transformation or analysis request of a data product should create records of what inputs and transformations occured. These records can be ephemeral, but if the resulting products are added back into the MMDPS, the record of where they are from shall be required.",Test,System Test,,analysis,provenance.feature
MDPS_2_REQ-83,MDPS_2_REQ-92,L3,The transformation and analysis system shall provide time-averaged maps on transformation requests,The ability to create a time averaged map is very hand for the analysis and validation of products especially at higher levels.,Test,"System Test, UAT",,analysis,time_average_maps.feature
MDPS_2_REQ-83,MDPS_2_REQ-212,L3,The transformation and analysis system shall provide a way to limit operations to spatial bounds,"Users are generally only concerned with a region of interest, not ""all data"". Ways of specifying spatial bounds will be defined at lower levels (e.g. how), but we will offer point, boundingbox and polygon (via geojson, HUC ID, or other mechanism).",Test,System Test,"eso, functional",analysis,spatial_limits.feature
,TXT-12,,Infrastructure - MDPS Multi-Project Support,,,,,,
MDPS_L1_REQ-3,MDPS_2_REQ-93,L2,The MDPS shall logically isolate projects (Project Isolation),Projects shall be independent entities within the MDPS. Access to the resources of one project does not allow access to non-project resources unless by way of the MDPS shared services specified in this document.,,,eso-prototype,project_isolation,
MDPS_2_REQ-93,MDPS_2_REQ-94,L3,Project Isolation shall provide data search and access across all project venues,Projects can search and access data from other venues (e.g. dev and test can access (read) operational data) but not modify them. The project can define further restrictions on the sharing of data across venues if they'd like.,Test,"System Test, Integration Test",eso-prototype,project_isolation,search.feature
MDPS_2_REQ-93,MDPS_2_REQ-95,L3,Project isolation shall include default user groups for A&A across all project venues,"In order to make the MMDPS permissions work, default 'Project' and 'venue' groups will be created. This allows for project based permissions and venue based permissions.",Test,"System Test, Integration Test",eso-prototype,project_isolation,auth.feature
MDPS_L1_REQ-3,MDPS_2_REQ-96,L2,The MDPS shall provide one or more venues for project specific needs (project venues),"Venues isolate cost and computational impacts across project venues, as well as allow for data sharing and support for algorithm and project lifecycle development. project specific needs could be separation of forward and bulk reprocessing, dev, test and ops environments for lifecycle development and maintenance, etc.",,,eso-prototype,project_venues,
MDPS_2_REQ-96,MDPS_2_REQ-97,L3,Project Venues shall optionally be provided one or more science processing platforms,"A venue can have 0, one or multiple processing systems.",Test,System Test,eso-prototype,project_venues,process.feature
MDPS_2_REQ-96,MDPS_2_REQ-98,L3,Project Venues shall optionally be provided one or more interactive development environments,"A venue can have 0, one or multiple IDEs",Test,System Test,eso-prototype,project_venues,ide.feature
MDPS_2_REQ-96,MDPS_2_REQ-99,L3,Project Venues shall optionally be provided one or more transformation and analysis systems,Venues get their own transformation and analysis system (e.g. SDAP deployed to a specific venue),Test,System Test,,project_venues,analysis.feature
MDPS_2_REQ-96,MDPS_2_REQ-100,L3,Project Venues shall be provided one mission storage system,"Venues get their own data stroage systems (that can consist of multiple directories, buckets, etc).",Test,System Test,eso-prototype,project_venues,storage.feature
MDPS_2_REQ-96,MDPS_2_REQ-101,L3,Project Venues shall allow for the deployment of managed services,"Once a venue account is created, the deployment of venue services can be triggered by venue administrators.",Test,System Test,"eso, eso-prototype",project_venues,managed.feature
MDPS_2_REQ-96,MDPS_2_REQ-160,L3,Project Venue resources shall be requested through a centralized endpoint (Web Gateway),Driving requirement to make the designs work for abstraction of managed services. Access to managed services goes through a central web gateway to enable A&amp;A controls and provide upgrade paths with minimal impact to the user.,Test,System Test,"eso, eso-prototype, interface",project_venues,web_gateway.feature
MDPS_2_REQ-96,MDPS_2_REQ-217,L3,The Web Gateway shall be available 99.9% of the time or greater,"Due to dependencies on the component, the availability requirement for the shared service is greater than the other specified (99%) requirements.",Test,"System test and monitoring availability over the course of a rolling day, week, month","eso, non-functional",project_venues,uptime.feature
MDPS_L1_REQ-3,MDPS_2_REQ-102,L2,The MDPS shall track and report project and venue based costs. (Cost Reporting),"Fine grained costing reporting based on data storage, compute, and data egress",,,eso-prototype,cost_reporting,
MDPS_2_REQ-102,MDPS_2_REQ-103,L3,The cost reporting system shall track and report system costs by one or more venues,"Costing can be reported based on a single venue, multiple venues, or all venues (project wide)",Test,"System Test, Integration Test","MCP, eso-prototype",cost_reporting,venue.feature
MDPS_2_REQ-102,MDPS_2_REQ-104,L3,The cost reporting system shall track and report system costs based on functional components,"e.g. track how much the science processing system costs, analysis platform, IDEs, etc.",Test,System Test,"MCP, eso-prototype",cost_reporting,component.feature
MDPS_2_REQ-102,MDPS_2_REQ-105,L3,The cost reporting system shall track and report data storage,"Get costs, volumes associated with data being stored within the system",Test,System Test,,cost_reporting,storage.feature
MDPS_2_REQ-102,MDPS_2_REQ-106,L3,The cost reporting system shall track and report data egress,"Get costs, volumes associated with data leaving the MMDPS",Test,System Test,,cost_reporting,egress.feature
MDPS_2_REQ-102,MDPS_2_REQ-161,L3,The cost reporting system shall be generating and capable delivering reports at a specified interval,"Instead of actively monitoring cost, cost reports can be automated and delivered to various project or MMO users.",Test,System Test,"MCP, eso",cost_reporting,reporting.feature
MDPS_2_REQ-102,MDPS_2_REQ-185,L3,The cost reporting system can alert users when cost thresholds are exceeded,"ability to alert a user when &lt;TBD&gt;70, 90% of their budget has been exceeded",Test,"System Test, UAT","MCP, eso",cost_reporting,alert.feature
MDPS_L1_REQ-3,MDPS_2_REQ-107,L2,The cost modeling system shall provide tools to assist projects in cost modeling and budget exercises. (Cost Modeling),Ability to assist projects in budgeting and planning for mission costs based on their requirements.,,,eso-prototype,cost_model,
MDPS_2_REQ-107,MDPS_2_REQ-108,L3,The cost modeling system shall provide cost models to tenant projects to estimate and budget project costs,Used to inform projects of cost implications of their usage of the MDPS.,Test,"System Test, UAT",eso-prototype,cost_model,estimate.feature
,TXT-13,,Infrastructure - Core MDPS,,,,,,
MDPS_L1_REQ-4,MDPS_2_REQ-109,L2,The MDPS shall provide capabilities to operate and administer project and venue services (managed Services),"Creation of projects, project resources, and user and role management",,,eso-prototype,managed_services,
MDPS_2_REQ-109,MDPS_2_REQ-170,L3,The MDPS shall support the previous major version of managed services,"To allow flexible project usage of managed services, the MMDPS shall support the previous major version of managed services. This means the MMDPS shall update minor and patch releases for these managed services.",Demonstration,"Demonstrate availability of patch, maintenance and security fixed for multiple major versions.",eso,managed_services,
MDPS_2_REQ-109,MDPS_2_REQ-171,L3,The MDPS shall have a centralized mechanism for requesting managed service support,"Project need a defined mechanisms for requesting bug fixes, support, general QA etc. this can take the form of a JIRA service center or github issue tracker.",Test,"System Test, UAT","eso, eso-prototype",managed_services,support.feature
MDPS_2_REQ-109,MDPS_2_REQ-111,L3,MDPS managed services shall provide the means to continuously integrate and deploy MDPS software,"Update and deploy new versions of MMDPS services to project specified venues. This allows for updated managed services to progress through the software development lifecycle (develop, test, production) along side project developed code.
 
 
   
 
 
  Projects updates will be human driven (e.g. do not upgrade until the project OKs the upgrade).",Test,System Test,eso-prototype,managed_services,ci.feature
MDPS_2_REQ-109,MDPS_2_REQ-112,L3,"The MDPS shall provide a mechanism for storing, updating, and retrieving sensitive software configuration","A way of storing and sharing configuration information across a MDPS venue. This could be database passwords, deployment credentials. An implementation would be something like the AWS systems manager security store or Hashicorp Vault like functionalities.",Test,System Test,eso-prototype,managed_services,configuration.feature
MDPS_2_REQ-109,MDPS_2_REQ-113,L3,The MDPS shall provide the capability to manage software artifacts,Artifacts required for the deployment of managed services shall also follow a MDPS CM process,Test,System Test,,managed_services,artifacts.feature
MDPS_2_REQ-109,MDPS_2_REQ-110,L3,MDPS managed services shall provide a common deployment mechanism,"Common deployment mechanism for managed services. E.g. a dashboard or API for requesting service deployments to a venue. The same dashboard or API can be used for all MMDPS services within a single venue.
 
 
   
 
 
  Deployments will be centered on widely available deployment technologies like terraform.",Test,"System Test, Integration Test",eso-prototype,managed_services,common_deployment.feature
MDPS_2_REQ-109,MDPS_2_REQ-114,L3,MDPS managed services shall provide a common upgrade mechanism,Managed services can be updated by project venue administrators,Test,"System Test, Integration Test",,managed_services,common_upgrade.feature
MDPS_2_REQ-109,MDPS_2_REQ-115,L3,"MDPS managed services shall provide a common rollback mechanism, except where prohibited by other requirements and policies","Roll back when an error is encountered during deployment should be standardized. This means an error in deployment can be detected, and the previous state can be made available to the users. Examples of implementation of this would be blue/green deployments.
 
 
   
 
 
  Exceptions to this capability would include not allowing rollbacks due to security issues, or other NASA policies.",Test,"System Test, Integration Test",eso-prototype,managed_services,common_rollback.feature
MDPS_2_REQ-109,MDPS_2_REQ-116,L3,MMDPS managed services shall provide a common destroy mechanism,Managed services can be destroyed by project venue administrators,Test,"System Test, Integration Test",,managed_services,common_destroy.feature
MDPS_2_REQ-109,MDPS_2_REQ-117,L3,"MDPS managed services shall have a user interface for deployment, monitoring, upgrading, and destruction",A dashboard for UI based management,Test,"System Test, UAT",eso-prototype,managed_services,mgmt_ui.feature
MDPS_2_REQ-109,MDPS_2_REQ-118,L3,MDPS managed services will support scheduling changes in project defined maintenance windows,Ability to schedule _when_ management activities can occur,Test,"System Test, UAT",,managed_services,mgmt_scheduling.feature
MDPS_2_REQ-109,MDPS_2_REQ-119,L3,"MDPS managed services shall provide a common mechanism for responding to security prompts (patches, AMI updates, vulnerabilities in libraries)","Maintenance requirements for time-critical activities.
 
 
   
 
 
  SPLs requiring patching of systems shall be made available to users within some pre-determined amount of time. these can be 7 days or 30 day turn around times.",Demonstration,,,managed_services,
MDPS_2_REQ-109,MDPS_2_REQ-158,L3,MDPS managed services shall allow resource customization,"Managed services need to be able to support the project use cases. This could be high CPU or Memory usage, specific storage needs, network requirements. These should be configurable where applicable (e.g. cloud resource customization).",Test,"System Test, UAT","eso, eso-prototype",managed_services,resource_customization.feature
MDPS_2_REQ-109,MDPS_2_REQ-159,L3,MDPS managed services shall report health metrics,"Managed services need to report on health metrics- these can be customized for each project, but should include things like uptime, request latency, resource usage, etc.",Test,System Test,"eso, eso-prototype",managed_services,managed_health.feature
MDPS_2_REQ-109,MDPS_2_REQ-172,L3,MDPS managed services shall notify users of available updates,A way of identifing manages services with updates available for supported versions.,Test,System Test,"MCP, eso",managed_services,mgmt_update_availability.feature
MDPS_2_REQ-109,MDPS_2_REQ-173,L3,MDPS managed services shall notify users of pending and in-progress deployments,Users are alerted to pending upgrades in services through some mechanisms,Test,System Test,eso,managed_services,mgmt_notify_deployments.feature
MDPS_2_REQ-109,MDPS_2_REQ-181,L3,MDPS managed service deployment can be monitored for status and deployment issues.,Ability to monitor a deployment of a managed service,Test,"System Test, UAT",eso,managed_services,mgmt_deployment_status.feature
MDPS_2_REQ-109,MDPS_2_REQ-182,L3,MDPS managed services shall be automatically validated upon deployment or rollback,Key to ensuring working software,Test,"System Test, Integration Test, Smoke Test",eso,managed_services,managed_deployment_validation.feature
MDPS_2_REQ-109,MDPS_2_REQ-196,L3,MDPS managed services shall be capable of alerting users based on health metrics,"Alerts based on uptime, availability, high or low resource usage, etc.",Test,System Test,eso,managed_services,mgmt_health_alerts.feature
MDPS_2_REQ-109,MDPS_2_REQ-208,L3,The MDPS shall generate a manifest of deployment services,"Required for redeployment of a given venue, promotion of a tested venue, and provenance tracking",Test,system test,,managed_services,mgmt_manifest.feature
MDPS_2_REQ-109,MDPS_2_REQ-207,L3,The MDPS shall be capable of deploying one or more services based on a previously generated deployment manifest,"Required to reproduce a given environment, especially valuable in dev-< test-> ops lifecycles, as well as for provenance.",Test,System Test,,managed_services,mgmt_manifest_clone.feature
MDPS_2_REQ-109,MDPS_2_REQ-220,L3,The MDPS should mitigate infrastructure vendor lock in by enabling MDPS capabilities be deployed in multiple environments,"Vendor lock-in here is targeting the hosting platform- either cloud (e.g. AWS, GCP, Azure), On-premise, or HPC. The MDPS system should avoid dependency on specific hosting technologies where reasonably capable. This is a Should (goal) of the system, as there may be times where reliance on specific hosting technology has a counterpart in other environments or when platform interfaces are standardized between environments.",Demonstration,,eso,managed_services,
MDPS_L1_REQ-4,MDPS_2_REQ-120,L2,The MDPS shall comply with NASA Accessibility And Cyber Security requirements.,,,,eso-prototype,security,
MDPS_2_REQ-120,MDPS_2_REQ-121,L3,The MDPS shall be Section 508 compliant,accessibility requirements: (accessibility. see https://www.section508.gov/manage),Test,"System Test, UAT",,security,508.feature
MDPS_2_REQ-120,MDPS_2_REQ-122,L3,The MDPS shall implement measures to prevent user created malicious code and data from being shared within the MDPS.,Algorithms and workflows will be scanned for vulnerabilities prior to being cataloged and stored within the MDPS.,Test,System Test,MCP,security,malicious_code.feature
MDPS_2_REQ-120,MDPS_2_REQ-123,L3,The MDPS shall comply with NASA institutional security requirements as specified in NASA-SPEC-2600 v2.4,The platform on which MDPS runs will have its own specific security constraints (e.g. AWS Cloud on MCP vs JPL AWS cloud vs GovCloud). This is a blanket requirement to capture the need to comply.,Test,System Test,"MCP, eso-prototype",security,compliance.feature
MDPS_2_REQ-120,MDPS_2_REQ-124,L3,The MDPS shall encrypt all data at rest,NASA Requirement for data encryption at rest,Test,System Test,"MCP, eso-prototype",security,encryption.feature
MDPS_2_REQ-120,MDPS_2_REQ-125,L3,The MDPS mission stores shall secure and allow for monitoring of data as specified in NASA-SPEC-2600 v2.4,"Secure may involve 'encrypt at rest data' or provide 'auditing' features. This becomes much more robust if itar, EAR, etc data become a part of the MMDPS process, in which case the venue containing the storage might exist in GovCloud, on premise, or omewhere else.",Test,System Test,"MCP, eso-prototype",security,data.feature
MDPS_2_REQ-120,MDPS_2_REQ-211,L3,The MDPS shall be EAR99/ITAR/EAR compliant.,Missions using MDPS will require export control for some of their Software applications/Software implementation. This requirement will ensure that the MDPS architecture will comply with ITAR/EAR.,,,MCP,security,ear.feature
MDPS_L1_REQ-4,MDPS_2_REQ-126,L2,"All services within MDPS shall be robust, available","service requirements that enable the usage of the MMDPS: up time, versioning, multi-availability zones, multi-region (where applicable).",Demonstration,,eso-prototype,availability,
MDPS_2_REQ-126,MDPS_2_REQ-127,L3,"The MDPS services shall be capable meeting or exceeding 99% availability, excluding unplanned downtime","Availability is a key feature of managed services, and is required to make design decisions for the system as a whole.
 
 
 
 Note we refer to planned downtime, not unforseen downtime to scope cost and ability to meet this requirement (e.g. 3.6 days of planned downtime a year.) 
 
 
   
 
 
  the goal of the system would be zero planned downtime. The shared services are key interfaces between venues and projects. Because they are shared services, used by many projects, finding a suitable downtime for a critical service could be an issue, but the system will have predetermined maintenance windows and alerts to possible outages.","Test,Analysis","Modeling of architecture, testing of uptime","MCP, eso-prototype",availability,managed_uptime.feature
MDPS_2_REQ-126,MDPS_2_REQ-129,L3,The MDPS shall monitor and report on service availability,a mechanism to provide the status of managed and shared services,Test,System Test,,availability,managed_monitoring.feature
MDPS_2_REQ-126,MDPS_2_REQ-130,L3,"The MDPS shall provide the current and, at minimum, 7-day historical status of MDPS service health","Provide the last 7 days of service health. Service health is defined as TBD.
 
 
   
 
 
  minimum of 7 days, but can be more.",Test,System Test,,availability,managed_monitoring_historic.feature
MDPS_2_REQ-126,MDPS_2_REQ-131,L3,The MDPS shared system shall have a published Service Level Agreement,"Need to publish an SLA for shared services:
 

  * uptime
  * availability
  * request/limits",Test,System Test,,availability,multitenant_availability_sla.feature
MDPS_2_REQ-126,MDPS_2_REQ-169,L3,"The MDPS shall be capable of being deployed in a ""High Availability"" mode","To support critical operations or reduce single points of failure, HA (High Availability) modes allow for the failure of one or more components while maintaining functionality",Test,System Test,eso,availability,high_availability.feature
MDPS_2_REQ-126,MDPS_2_REQ-209,L3,"MDPS managed services shall be capable of recovering information critical to system operations, as prescribed in a project level SLA","The ability for a managed service to operate usually requires software, configuration, and state (e.g. files, database) that must be backed up to provide mission critical functionality. While 'back up' is an implementation, the ability to recover is the needed functionality","Test,Demonstration","system test, Demo",,availability,managed_recovery.feature
MDPS_2_REQ-126,MDPS_2_REQ-336,L3,MDPS managed services shall be capable of restoring functionality after a catastrophic failure,Disaster Recovery requirement,"Test,Demonstration","System Test, active demonstrations,",eso,availability,managed_restoration.feature
MDPS_2_REQ-126,MDPS_2_REQ-210,L3,The MDPS Shared Services shall limit requests by a project venue to a specified amount as specified in shared service SLAs,"Shared services, to prevent overconsumption by a given project venue, need to be able to limit the number of requests fulfilled. The limit placed on projects is specified in the SLA. Requests above this limit may be fulfilled, but may also be denied. The calling venue needs to handle the fulfilled requests and denied requests.",Test,Testing rate limiting of componrents.,"SLA, eso",availability,multitenant_request_limiting.feature
MDPS_L1_REQ-4,MDPS_2_REQ-132,L2,Shared Services within the MDPS shall allow for customer adoption to changes in implementation,"Managed services need to be able to upgrade for performance, functionality and security reasons. This is often at odds with a project relying on a consistent, unchanging interface. The following requirement(s) allow for services to push out changes in a timely manner while not forcing the upgrade schedule on projects.",,,,,
MDPS_2_REQ-132,MDPS_2_REQ-133,L3,The MDPS shall enable tenants to upgrade interfaces within a service defined lifecycle,Shared services can roll out new functionlity via versioned (one possible implementation) interfaces. Previous interfaces will be available for some amount of time defined in a MMDPS SLA.,Demonstration,,,,
MDPS_L1_REQ-4,MDPS_2_REQ-134,L2,The MDPS shall provide the capability to manage venue resources.,"Allow for scaling, cost controls, cpu/ram types",Test,System Test,,,
MDPS_2_REQ-134,MDPS_2_REQ-135,L3,The MDPS shall remain within a priori budget constraints,"Allow for a setup that will not exceed a pre-defined budget, broken down by 'service areas'. The system cannot run without some form of cost controls. Either MMDPS or the project using MMDPS ultimately needs to pay a bill if using some form of unbounded cost (e.g the cloud). We must place an artificial bound on the system to prevent running over a budget given to us by a project. MMDPS itself must have a budget, consisting of all the other projects plus some overhead (possibly).",Test,System Test,MCP,,
MDPS_L1_REQ-4,MDPS_2_REQ-136,L2,The MDPS shall provide user management capabilities for MDPS and MDPS project administrators (User Management),"User management includes user identification, role and permissions, and project/venue relationships to allow or restrict for access to MMDPS and project resources",,,eso-prototype,user_management,
MDPS_2_REQ-136,MDPS_2_REQ-137,L3,The MDPS shall require all users to login.,"in order to enforce project and user based permissions, all users shall login to the system.
 
 
   
 
 
  MFA is a l4 or a security requirement. MfA is not why we need this requirement above (e.g. being able to restrict access to various artifacts/services based on user).",Test,System Test,eso-prototype,user_management,login.feature
